"site","date","year","pre_post","site_old","treatment","utm_easting","utm_northing","densiometer_avg","dist_avg","dbh_avg","disked","canopy_cover"
"HH-48-W",2022-06-07,"2022","pre","HH48","control-open",609012.22,3656910.19,NA,7.2125,31.075,0,91.2927756653992
"HH-48-W",2023-05-22,"2023","pre","HH48","control-open",609012.22,3656910.19,NA,7.2125,31.075,0,91.2927756653992
"HH-48-W",2023-05-31,"2023","pre","HH48","control-open",609012.22,3656910.19,NA,7.2125,31.075,0,91.2927756653992
"HH-48-W",2023-06-14,"2023","pre","HH48","control-open",609012.22,3656910.19,NA,7.2125,31.075,0,91.2927756653992
"HH-48-W",2024-05-23,"2024","post","HH48","control-open",609012.22,3656910.19,5.36,7.06666666666667,12.7,0,5.36
"HH-48-W",2024-05-28,"2024","post","HH48","control-open",609012.22,3656910.19,5.36,7.06666666666667,12.7,0,5.36
"HH-48-W",2024-06-05,"2024","post","HH48","control-open",609012.22,3656910.19,5.36,7.06666666666667,12.7,0,5.36
"HH-49-U",2021-05-15,"2021","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2021-05-19,"2021","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2021-05-26,"2021","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2022-05-19,"2022","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2022-05-31,"2022","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2022-06-07,"2022","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2023-05-22,"2023","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2023-05-31,"2023","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2023-06-14,"2023","pre","UP03","upland",609057.1,3657375,NA,8.1625,41.75,0,83.7250442254233
"HH-49-U",2024-05-23,"2024","post","UP03","upland",609057.1,3657375,32.4,7.2,17.875,0,32.4
"HH-49-U",2024-06-03,"2024","post","UP03","upland",609057.1,3657375,32.4,7.2,17.875,0,32.4
"HH-49-U",2024-06-13,"2024","post","UP03","upland",609057.1,3657375,32.4,7.2,17.875,0,32.4
"HH-49-W",2021-05-15,"2021","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2021-05-19,"2021","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2021-05-26,"2021","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2022-05-19,"2022","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2022-05-31,"2022","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2022-06-07,"2022","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2023-05-22,"2023","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2023-05-31,"2023","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2023-06-14,"2023","pre","HH49","hack-squirt",608983.27,3656994.14,NA,3,35.875,0,74.859075535513
"HH-49-W",2024-05-23,"2024","post","HH49","hack-squirt",608983.27,3656994.14,95.84,1.8,12.675,0,95.84
"HH-49-W",2024-05-30,"2024","post","HH49","hack-squirt",608983.27,3656994.14,95.84,1.8,12.675,0,95.84
"HH-49-W",2024-06-12,"2024","post","HH49","hack-squirt",608983.27,3656994.14,95.84,1.8,12.675,0,95.84
"HH-50-U",2023-05-22,"2023","pre","UP50A","upland",609054.4,3657621,NA,NA,NA,0,NA
"HH-50-U",2023-05-31,"2023","pre","UP50A","upland",609054.4,3657621,NA,NA,NA,0,NA
"HH-50-U",2023-06-14,"2023","pre","UP50A","upland",609054.4,3657621,NA,NA,NA,0,NA
"HH-50-U",2024-05-21,"2024","post","UP50A","upland",609054.4,3657621,70.88,6,15.675,0,70.88
"HH-50-U",2024-05-29,"2024","post","UP50A","upland",609054.4,3657621,70.88,6,15.675,0,70.88
"HH-50-U",2024-06-11,"2024","post","UP50A","upland",609054.4,3657621,70.88,6,15.675,0,70.88
"HH-50-W",2021-05-15,"2021","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2021-05-19,"2021","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2021-05-26,"2021","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2022-05-19,"2022","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2022-05-31,"2022","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2022-06-07,"2022","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2023-05-22,"2023","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2023-05-31,"2023","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2023-06-14,"2023","pre","HH50","cut-remove",609042.44,3657299.73,NA,4.575,35.9,0,84.2577384712571
"HH-50-W",2024-05-21,"2024","post","HH50","cut-remove",609042.44,3657299.73,23.04,11.475,14.25,0,23.04
"HH-50-W",2024-05-29,"2024","post","HH50","cut-remove",609042.44,3657299.73,23.04,11.475,14.25,0,23.04
"HH-50-W",2024-06-11,"2024","post","HH50","cut-remove",609042.44,3657299.73,23.04,11.475,14.25,0,23.04
"HH-60-U",2021-05-15,"2021","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2021-05-19,"2021","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2021-05-26,"2021","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2022-05-18,"2022","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2022-05-30,"2022","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2022-06-13,"2022","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2023-05-20,"2023","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2023-05-30,"2023","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2023-06-05,"2023","pre","UP01","upland",609675.4,3657751,NA,8.7375,45.275,0,79.4773893330152
"HH-60-U",2024-05-27,"2024","post","UP01","upland",609675.4,3657751,15.76,13.075,18.225,0,15.76
"HH-60-U",2024-05-28,"2024","post","UP01","upland",609675.4,3657751,15.76,13.075,18.225,0,15.76
"HH-60-U",2024-06-04,"2024","post","UP01","upland",609675.4,3657751,15.76,13.075,18.225,0,15.76
"HH-60-W",2022-05-18,"2022","pre","HH34","control-closed",609706.05,3657831.62,NA,2.9375,28.45,0,51.8409062923285
"HH-60-W",2022-05-30,"2022","pre","HH34","control-closed",609706.05,3657831.62,NA,2.9375,28.45,0,51.8409062923285
"HH-60-W",2022-06-13,"2022","pre","HH34","control-closed",609706.05,3657831.62,NA,2.9375,28.45,0,51.8409062923285
"HH-60-W",2023-05-20,"2023","pre","HH34","control-closed",609706.05,3657831.62,NA,2.9375,28.45,0,51.8409062923285
"HH-60-W",2023-05-30,"2023","pre","HH34","control-closed",609706.05,3657831.62,NA,2.9375,28.45,0,51.8409062923285
"HH-60-W",2024-05-27,"2024","post","HH34","control-closed",609706.05,3657831.62,94.8,2.375,18.4,1,94.8
"HH-60-W",2024-06-03,"2024","post","HH34","control-closed",609706.05,3657831.62,94.8,2.375,18.4,1,94.8
"HH-60-W",2024-06-05,"2024","post","HH34","control-closed",609706.05,3657831.62,94.8,2.375,18.4,1,94.8
